kingdom,superclass,class,subclass,direct_parent,reasoning,confidence,substance_name,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens
Organic compounds,Organoheterocyclic compounds,Azacyclic compounds,Piperazines,Piperazines,"N,N'-bis(3-aminopropyl)piperazine contains a piperazine ring (a six-membered ring with two nitrogen atoms) substituted at both nitrogen atoms with 3-aminopropyl chains, making piperazines the most specific applicable class.",high,"N,N'-bis(3-aminopropyl)piperazine",321,0,16760,133
Organic compounds,Organoheterocyclic compounds,Azacyclic compounds,NA,Triazinones,"Troclosene sodium (sodium dichloroisocyanurate) is the sodium salt of dichloroisocyanuric acid, which is a chlorinated triazinetrione (isocyanurate). The core structure is a triazine ring with oxo substituents, classifying it as a triazinone; the dihydrate indicates water of crystallization but does not change the organic classification.",medium,"troclosene sodium, dihydrate",313,0,16760,143
Organic compounds,Organosulfur compounds,Sulfonyls,Sulfonylureas,Pyrimidinyl-2-sulfonylureas,Nicosulfuron is a sulfonylurea herbicide containing a pyrimidine ring connected via a sulfonylaminocarbonyl (sulfonylurea) bridge to a pyridine ring with dimethylcarbamoylmethoxy substituents. The pyrimidine-2-sulfonylurea moiety is the defining structural feature.,high,Nicosulfuron,310,0,16760,141
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzene and substituted derivatives,Aryl-aldehydes,β-methyl-3-(1-methylethyl)benzenepropanal is an aromatic aldehyde — a benzene ring bearing an isopropyl substituent and a propanal side chain with a beta-methyl group. The aldehyde functionality attached to the aryl-containing chain classifies it as an aryl-aldehyde within the benzenoid/benzene substituted derivatives hierarchy.,medium,β-methyl-3-(1-methylethyl)benzenepropanal,322,0,16760,178
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,"Cyclohexyl(methyl)amine is a secondary amine with two alkyl substituents (a cyclohexyl group and a methyl group) attached to the nitrogen atom, making it a dialkylamine. It contains no aromatic rings or other heteroatoms beyond the nitrogen.",high,Cyclohexyl(methyl)amine,315,0,16760,129
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Monoalkylamines,"Amantadine hydrochloride is the hydrochloride salt of amantadine (1-adamantylamine), a primary aliphatic amine with a tricyclic adamantane scaffold. As a monoalkylamine salt, its direct parent is best described as monoalkylamines within the organonitrogen/amines hierarchy.",high,Amantadine hydrochloride,313,0,16760,145
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-diols","Butane-2,3-diol is a four-carbon diol with two adjacent hydroxyl groups on carbons 2 and 3, making it a vicinal diol (1,2-diol). It is an organic oxygen compound classified under alcohols and polyols.",high,"Butane-2,3-diol",314,0,16760,118
Inorganic compounds,Mixed metal/non-metal compounds,Alkaline earth metal salts,Alkaline earth metal phosphonates,Alkaline earth metal phosphonates,"Calcium hydrogen phosphonate is a salt formed from calcium (alkaline earth metal) and phosphonate (HPO3^2-) anion, placing it among alkaline earth metal phosphonates. It is an inorganic compound containing a metal cation paired with a non-metal oxoanion.",medium,Calcium hydrogen phosphonate,309,0,16760,164
Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,NA,Indoles and derivatives,"This substance contains a pyrrolo[2,3-b]pyridine (7-azaindole) core, which is an indole-type bicyclic heterocycle fused with a pyridine ring, making it an indole derivative. The molecule also bears a sulfonamide group, a dichlorobenzoyl group, and a difluorophenyl ketone, but the core heterocyclic scaffold best places it under indoles and derivatives.",medium,"1-Propanesulfonamide, N-[3-[[5-bromo-1-(2,6-dichlorobenzoyl)-1H-pyrrolo[2,3-b]pyridin-3-yl]carbonyl]-2,4-difluorophenyl]-",375,0,16760,185
Organic compounds,Organohalogen compounds,Aryl halides,Benzyl halides,Benzyl halides,"Benzal chloride (PhCHCl2) is a benzyl-type compound bearing two chlorine atoms on the benzylic carbon, making it a benzyl halide (geminal dichloride on the benzylic position). It belongs to the aryl halide/organohalogen family as it is an organic compound with chlorine substituents attached to a carbon adjacent to a benzene ring.",high,"α, α-dichlorotoluene; benzylidene chloride; benzal chloride",325,0,16760,172
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Bisphenols,"4,4'-sulphonyldiphenol (bisphenol S) consists of two phenol rings connected via a sulfonyl (-SO2-) bridge, making it a bisphenol. It contains hydroxyl groups on both aromatic rings, classifying it under phenols and more specifically bisphenols.",high,"4,4'-sulphonyldiphenol",315,0,16760,135
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Carboxylic acid salts,"Sodium acrylate is the sodium salt of acrylic acid, formed by deprotonation of the carboxylic acid group. It belongs to the carboxylic acid salts category within organic acids and derivatives.",high,Sodium acrylate,310,0,16760,112
Organic compounds,Organoheterocyclic compounds,Imidazopyridines,NA,Imidazopyridines,"The compound contains an imidazo[1,2-a]pyridine bicyclic ring system fused from an imidazole and a pyridine ring, with an acetic acid side chain and tolyl substituent. Imidazopyridines is the most specific available class matching this core scaffold.",high,"2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetic acid",344,0,16760,154
Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,Fenpyroximate is a pyrazole-containing acaricide/insecticide with the structure featuring a tert-butyl pyrazole core connected via an oxymethylene linker to a pyridine ring with a benzoyloxy group. The pyrazole ring is the defining heterocyclic feature that determines its direct parent classification.,high,Fenpyroximate,310,0,16760,159
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Thiocarboxylic acids and derivatives,Thioesters,"O-2-naphthyl chlorothioformate is a thioformate ester where the sulfur bears a chlorine (it is a chlorothioformate, i.e., an acyl chloride of a thioformic acid ester). The compound has an O-aryl (naphthyl) thioester linkage, best classified as a thioester derivative under thiocarboxylic acids and derivatives. The closest available direct parent label is 'Thioesters'.",medium,O-2-naphthyl chlorothioformate,317,0,16760,202
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Methyl esters,"Methyl propionate (CH3CH2COOCH3) is an ester formed from propanoic acid and methanol, making it a methyl ester under carboxylic acid esters.",high,Methyl propionate,309,0,16760,105
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,"This substance is a Boc-protected L-valine ester linked to a guanosine-derived nucleoside analog (valganciclovir-like structure). The core scaffold is an N-acyl (Boc-protected) alpha amino acid (L-valine) forming an ester, placing it within N-acyl-alpha amino acids and derivatives.",medium,"L-Valine, N-[(1,1-dimethylethoxy)carbonyl]-, 2-[(2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)methoxy]ethyl ester",366,0,16760,179
Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids and derivatives,Imazapyr is a herbicide containing a pyridine ring with a carboxylic acid group and an imidazolinone ring system; the pyridine carboxylic acid moiety is the most structurally defining feature in ChemOnt classification. The compound fits best under pyridinecarboxylic acids and derivatives as the direct parent.,medium,imazapyr,308,0,16760,150
Organic compounds,Organoheterocyclic compounds,Quinuclidines,Quinuclidines,Quinuclidines,"3-(chloromethyl)-1-azabicyclo[2.2.2]octane is a quinuclidine (1-azabicyclo[2.2.2]octane) core with a chloromethyl substituent, present as a hydrochloride salt. The core bicyclic structure with a bridgehead nitrogen classifies it as a quinuclidine derivative.",high,3-(chloromethyl)-1-azabicyclo[2.2.2]octane hydrochloride,331,0,16760,146
Organic compounds,Phenylpropanoids and polyketides,Vinylogous amides,"Benzoylcyclohexane-1,3-diones","Benzoylcyclohexane-1,3-diones","Mesotrione is 2-(2-nitro-4-methylsulfonylbenzoyl)-1,3-cyclohexanedione, a triketone herbicide featuring a benzoyl group attached to cyclohexane-1,3-dione, which directly classifies it as a benzoylcyclohexane-1,3-dione. The enol tautomer also supports a vinylogous amide character in the polyketide framework.",high,"mesotrione (ISO); 2-[4-(methylsulfonyl)-2-nitrobenzoyl]-1,3-cyclohexanedione",341,0,16760,192
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,NA,Organic salts,"1,4,7-triazocyclononane-1,4,7-triium sulfate is an organic salt consisting of the triprotonated 1,4,7-triazacyclononane (TACN) macrocycle paired with a sulfate counterion. The organic cation is an azacyclic compound, but at the salt level the best direct parent label available is 'Organic salts'.",medium,"1,4,7-triazocyclononane-1,4,7-triium sulfate",327,0,16760,175
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty aldehydes,Fatty aldehydes,"Oct-7-enal is an 8-carbon aliphatic aldehyde with a terminal double bond (at C7), classifying it as a fatty aldehyde within the Fatty Acyls class of lipids.",high,Oct-7-enal,310,0,16760,121
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,"Hexyl benzoate is an ester formed from benzoic acid and hexanol, making it a benzoic acid ester. It contains a benzene ring with a carboxylate ester functional group.",high,Hexyl benzoate,310,0,16760,118
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids and derivatives,Alpha hydroxy acids and derivatives,"(R)-2-acetoxy-2-phenylacetic acid is a phenylacetic acid derivative with an acetoxy group at the alpha carbon, making it an alpha-hydroxy acid derivative (the hydroxyl is protected as an acetate ester). It contains both a carboxylic acid and an ester functional group on the alpha carbon.",medium,(R)-2-acetoxy-2-phenylacetic acid,318,0,16760,164
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol ethers,Phenol ethers,"2-Phenoxyethanol is an organic compound consisting of a benzene ring with an ethanol group attached via an ether oxygen (Ph-O-CH2CH2OH), making it a phenol ether. It fits within the benzenoids superclass as a substituted benzene derivative.",high,2-phenoxyethanol,311,0,16760,132
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Acrylic acid esters,"Ethyl acrylate is the ethyl ester of acrylic acid (prop-2-enoic acid), making it a carboxylic acid ester and specifically an acrylic acid ester. It contains the characteristic CH2=CH-COO- moiety.",high,Ethyl acrylate,311,0,16760,137
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,"2-Methoxyethyl acetate is an ester formed from acetic acid and 2-methoxyethanol, placing it within carboxylic acid esters under organic acids and derivatives. It contains an ether linkage as well, but the ester functional group is the most defining feature for classification.",high,2-methoxyethyl acetate,313,0,16760,132
Organic compounds,Organic oxygen compounds,Oxacyclic compounds,Cyclic ketones,Cyclic ketones,"Cyclohexanone is a six-membered carbocyclic ring containing a ketone functional group, making it a cyclic ketone. It is an organic compound containing oxygen in a ring-associated carbonyl group.",high,Cyclohexanone,310,0,16760,114
Organic compounds,Organohalogen compounds,Organochlorides,Aryl halides,Phenoxyacetic acid derivatives,"2,4,5-Trichlorophenoxyacetic acid is a chlorinated phenoxyacetic acid derivative, where a trichlorophenol is connected via an ether linkage to acetic acid. It is best classified as a phenoxyacetic acid derivative, and as an organochloride/aryl halide due to the chlorine substituents on the aromatic ring.",high,"2,4,5-T (ISO); 2,4,5-trichlorophenoxy acetic acid",330,0,16760,159
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Enoate esters,"Ethylene dimethacrylate is a diester formed from methacrylic acid (an alpha,beta-unsaturated carboxylic acid) and ethylene glycol, making it an enoate ester (acrylic/methacrylic acid ester). It belongs to the carboxylic acid esters subclass within organic acids and derivatives.",high,ethylene dimethacrylate,312,0,16760,171
Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Aryl phosphates,Aryl phosphates,"Phosphoric acid, diphenyl 2-ethylhexyl ester is a triester of phosphoric acid with two phenyl groups and one 2-ethylhexyl group, making it an aryl phosphate (phosphoric acid triester containing aryl substituents). It falls under organophosphorus compounds > organic phosphoric acids and derivatives > aryl phosphates.",high,"phosphoric acid, diphenyl 2-ethylhexyl ester",321,0,16760,152
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpenoids,Cyclic ketones,"This compound is (E)-1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-2-buten-1-one, a terpenoid-derived enone with a cyclohexadiene ring bearing the characteristic trimethyl substitution of ionone-type sesquiterpenoids. It is a cyclic ketone (enone) belonging to the prenol lipids/terpenoids class, with the most specific applicable direct parent being cyclic ketones (as an enone/vinylogous carbonyl on a terpenoid ring system).",medium,"(E)-1-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-2-buten-1-one",341,0,16760,220
NA,NA,NA,NA,NA,JSON parse error: Expecting value: line 1 column 1 (char 0),low,Diethatyl  (-ethyl),312,0,16760,300
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Keto acids and derivatives,"N-butyl 4-oxopentanoate is the n-butyl ester of levulinic acid (4-oxopentanoic acid), which is a keto acid. It contains both an ester functional group and a ketone within the carbon chain, making it a keto acid derivative (specifically a delta-keto acid ester).",medium,N-butyl 4-oxopentanoate,316,0,16760,169
Organic compounds,Lipids and lipid-like molecules,Macrolides and analogues,Macrolides and analogues,Milbemycins,"This compound is a derivative of avermectin (specifically a 22,23-dihydroavermectin analog with cyclohexyl substitution), which belongs to the milbemycin/avermectin class of macrocyclic lactone natural products. Milbemycins are the closest ChemOnt label encompassing avermectin-type macrolide lactones.",medium,"(25S)-25-Cyclohexyl-5-O-demethyl-25-de(1-methylpropyl)-22,23-dihydroavermectin A1a",348,0,16760,179
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Guanidines,"Guanidine (HN=C(NH2)2) is the simplest guanidine compound, containing the characteristic guanidinium functional group with a carbon atom doubly bonded to one nitrogen and singly bonded to two amino groups. It is classified under organic nitrogen compounds as a guanidine.",high,Guanidine,309,0,16760,124
Organic compounds,Organic nitrogen compounds,Azacyclic compounds,Pyrrolidines,Pyrrolidine-2-ones,"5-Ethenyl-2-pyrrolidinone is a five-membered nitrogen-containing ring (pyrrolidine) with a ketone at position 2 (making it a pyrrolidinone/lactam) and a vinyl substituent at position 5. The most specific applicable label is Pyrrolidine-2-ones, which directly describes the gamma-lactam core structure.",high,5-Ethenyl-2-pyrrolidinone,318,0,16760,147
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-aminoalcohols","Oxydipropanol (dipropylene glycol) is 3,3'-oxydipropan-1-ol, a diether-diol molecule with two propanol units connected by an oxygen bridge. It contains ether and alcohol functional groups; as a polyol ether it best fits under organooxygen compounds. However, the most specific direct parent for a simple aliphatic diol with an ether linkage is closest to 'Alcohols and polyols' since no more specific label for glycol ethers is available.",medium,Oxydipropanol,310,0,16760,207
Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,Phosphonic acid esters,Phosphonic acid diesters,"Bis(1,1-dimethylethyl) phosphonate is di-tert-butyl phosphonate, a phosphonic acid ester with two tert-butyl ester groups attached to the phosphorus atom, making it a phosphonic acid diester. It belongs to the organophosphorus compounds class under organic phosphonic acids and derivatives.",high,"Bis(1,1-dimethylethyl) phosphonate",319,0,16760,164
Organic compounds,Organoheterocyclic compounds,Pyridopyrimidines,NA,Pyridopyrimidines,"The compound contains a fused bicyclic ring system combining a pyridine and a pyrimidine ring (pyrido[2,3-d]pyrimidine scaffold), which is a pyridopyrimidine. It also has a chloro substituent, a cyclopentyl group, a methyl group, and a ketone (7-one), but the core heterocyclic system is best classified as a pyridopyrimidine.",high,"2-chloro-8-cyclopentyl-5-methyl-8H-pyrido[2,3-d]pyrimidin-7-one",341,0,16760,184
Inorganic compounds,Mixed metal/non-metal compounds,Post-transition metal salts,Post-transition metal chlorides,Post-transition metal chlorides,Tin dichloride (SnCl2) is an inorganic salt composed of tin (a post-transition metal) and chloride ions. It belongs to the post-transition metal chlorides class.,high,Tin dichloride,309,0,16760,118
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,"Behenamidopropyl-dimethyl-(dihydroxypropyl) ammonium chloride is a quaternary ammonium salt featuring a nitrogen atom bearing four organic substituents (a behenamidopropyl chain, two methyl groups, and a dihydroxypropyl group) with a chloride counter-ion. This structure is characteristic of quaternary ammonium salts.",high,behenamidopropyl-dimethyl-(dihydroxypropyl) ammonium chloride,329,0,16760,180
Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Triacylglycerols,"Sorbitan trioleate is a sorbitan ester formed from sorbitol and three oleic acid chains. It closely resembles a triacylglycerol in its lipid-like, multi-fatty-acid ester structure, fitting best under glycerolipids/triacylglycerols in the ChemOnt hierarchy.",medium,sorbitan trioleate,310,0,16760,144
Organic compounds,Phenylpropanoids and polyketides,Anthracenes,NA,Anthraquinones,"1-amino-4-hydroxy-2-(2-phenoxyethoxy)anthraquinone is an anthraquinone derivative featuring the anthracene-9,10-dione core with amino, hydroxy, and phenoxyethoxy substituents. Anthraquinones fall under the anthracenes class within phenylpropanoids and polyketides.",high,1-amino-4-hydroxy-2-(2-phenoxyethoxy)anthraquinone,328,0,16760,169
Organic compounds,Organoheterocyclic compounds,Azoles,Triazoles,Triazoles,"Mefentrifluconazole is a triazole fungicide containing a 1H-1,2,4-triazole ring connected via a tertiary alcohol to a substituted phenyl ring bearing a chlorophenoxy group and a trifluoromethyl substituent. The core heterocyclic system is a triazole, making that the most specific applicable direct parent classification.",high,"(2RS)-2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1H-1,2,4-triazol-1-yl)propan-2-ol; mefentrifluconazole",367,0,16760,169
Organic compounds,Organosulfur compounds,Organic sulfuric acids and derivatives,Sulfuric acid diesters,Benzenesulfonate esters,"2,6-dimethylphenyl 4-hydroxybenzenesulfonate is an ester formed between 4-hydroxybenzenesulfonic acid and 2,6-dimethylphenol, making it a benzenesulfonate ester (an aryl sulfonate ester). It falls under organic sulfuric acid derivatives as a sulfuric acid diester-type compound.",high,"2,6-dimethylphenyl 4-hydroxybenzenesulfonate",324,0,16760,182
Inorganic compounds,Inorganic salts,Miscellaneous inorganic compounds,NA,Inorganic salts,"Hydroxylamine hydrochloride (NH2OH·HCl) is the salt formed from hydroxylamine and hydrochloric acid, making it an inorganic salt. It does not fit neatly into the organic compound hierarchy as the parent species (hydroxylamine) is an inorganic nitrogen compound.",medium,hydroxylammonium chloride; hydroxylamine hydrochloride,319,0,16760,137
Organic compounds,Benzenoids,Benzene and substituted derivatives,NA,Quinonimines,"This compound is a cyclohexadienone bearing a phenylimine substituent (quinone imine structure), with an acetylamino group, chloro substituent, and a diethylaminomethylphenyl imino group. The core structure is a p-quinoneimine (4-imino-1-oxo-cyclohexa-2,5-diene), classifying it as a quinoneimine within benzenoid chemistry.",medium,"2-acetylamino-6-chloro-4-[(4-diethylamino)-2-methylphenyl-imino]-5-methyl-1-oxo-2,5-cyclohexadiene",356,0,16760,182
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues","Trans-cyclohexane-1,2-dinitrilotetraacetic acid (CDTA) is a polyaminocarboxylic acid chelating agent with a cyclohexane backbone bearing two nitrogen atoms each substituted with two acetic acid groups, making it an amino acid analogue/derivative. It fits best under amino acids, peptides, and analogues within the carboxylic acids and derivatives class.",medium,"trans-cyclohexane-1,2-dinitrilotetraacetic acid",323,0,16760,159
Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,Quinolones and derivatives,"8-Chloro-2-quinolinone is a quinolinone (2-quinolinone core) with a chloro substituent at the 8-position, placing it firmly within the quinolones and derivatives class under organoheterocyclic compounds.",high,8-Chloro-2-quinolinone,316,0,16760,120
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,"Bis(2-ethylhexyl) adipate is a diester formed from adipic acid (a 6-carbon dicarboxylic acid) and two 2-ethylhexanol molecules, making it a fatty acid ester (dicarboxylic acid ester) classified under fatty acyls in the lipid kingdom.",high,Bis(2-ethylhexyl) adipate,317,0,16760,147
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,"DL-bornan-2-one (camphor) is a bicyclic monoterpenoid ketone derived from the bornane skeleton, consisting of a bicyclo[2.2.1]heptane (norbornane) framework with two methyl groups and a ketone at position 2, classifying it as a bicyclic monoterpenoid. It falls under prenol lipids as a terpenoid built from isoprene units.",high,DL-bornan-2-one,313,0,16760,175
Organic compounds,Organophosphorus compounds,Organic phosphines and derivatives,Organic phosphites,Organic phosphites,"This substance is a phosphite ester where a phosphorus atom is esterified with a 2,4,6-tri-tert-butylphenol and a 2-butyl-2-ethyl-1,3-propanediol, making it an organic phosphite (P(III) ester). It falls under organophosphorus compounds as an organic phosphite derivative.",high,"2,4,6-tri-tert-butylphenyl 2-butyl-2-ethyl-1,3-propanediolphosphite",342,0,16760,170
Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine nucleosides,Purine nucleosides,"Adenosine is a purine nucleoside consisting of adenine (a purine base) linked to ribose via a glycosidic bond. It falls under the purine nucleosides class within nucleosides, nucleotides, and analogues.",high,Adenosine,308,0,16760,120
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glycosyl compounds,"Pentyl 6-deoxy-alpha-L-mannopyranoside is a glycoside where a pentyl (n-amyl) group is attached via an O-glycosidic bond to the anomeric carbon of 6-deoxy-L-mannose (L-rhamnose), making it an O-glycosyl compound. It falls within carbohydrates and carbohydrate conjugates as a monosaccharide glycoside.",high,Pentyl 6-deoxy-alpha-L-mannopyranoside,322,0,16760,177
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,"Ethyl isocyanoacetate (EtOOC-CH2-NC) contains an ester group (ethyl ester of isocyanoacetic acid) and an isocyano (isonitrile) group. The ester functionality is the primary classifiable feature in ChemOnt; while it also bears an isocyano group, the closest available direct parent in the taxonomy is carboxylic acid esters.",medium,Ethyl isocyanoacetate,313,0,16760,189
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Aminophenols,"4-amino-2-(aminomethyl)phenol dihydrochloride is an organic compound featuring a benzene ring substituted with a hydroxyl group (phenol), an amino group, and an aminomethyl group; the core structure is best classified as an aminophenol. The dihydrochloride salt form does not change the fundamental organic classification.",medium,4-amino-2-(aminomethyl)phenol dihydrochloride,323,0,16760,146
Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Alkanes,"N-octane (C8H18) is a straight-chain saturated hydrocarbon (alkane) with eight carbon atoms, containing only carbon-carbon and carbon-hydrogen single bonds. It fits perfectly under the saturated hydrocarbons class as a simple alkane.",high,octane; n-octane,311,0,16760,123
Organic compounds,Organosulfur compounds,Sulfonyls,Sulfonyls,Organic sulfate salts,"Potassium-N-(4-toluenesulfonyl)-4-toluenesulfonamide is the potassium salt of a bis(4-toluenesulfonyl)amine (saccharin-related disulfonamide), containing two p-toluenesulfonyl groups linked via a nitrogen, making it an organosulfur compound. As a potassium salt of a sulfonamide anion, the most fitting direct parent is organic sulfate salts (organic sulfonyl-derived salt), though N,N-disubstituted sulfonamide potassium salt fits under organic sulfur salt framework.",low,Potassium-N-(4-toluenesulfonyl)-4-toluenesulfonamide,329,0,16760,226
Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,"Basic aluminum chloride (Al(OH)Cl2 or similar formula) is an inorganic compound containing a metal (aluminum) combined with both chloride (non-metal halide) and hydroxide groups, making it a mixed metal/non-metal compound that does not fit neatly into a specific salt subclass. It is best classified under miscellaneous mixed metal/non-metals.",medium,"Aluminum chloride, basic",310,0,16760,160
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzamides,Benzamides,"3-amino-4-methoxy-N-methylbenzamide is a benzamide derivative featuring an amino group and a methoxy group on the benzene ring with an N-methyl substituted amide functional group. The core structural motif is a benzamide (benzoic acid amide), making Benzamides the most specific applicable direct parent.",high,3-amino-4-methoxy-N-methylbenzamide,320,0,16760,132
Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,"Aluminium phosphide (AlP) is an inorganic binary compound consisting of a metal (aluminium) and a non-metal (phosphorus), classifying it as a mixed metal/non-metal compound. It does not fit neatly into more specific subclasses like metal alkyls or oxoanionic compounds, so it falls under miscellaneous mixed metal/non-metals.",medium,aluminium phosphide,308,0,16760,160
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carbamate esters,"This substance is a 9-fluorenylmethyloxycarbonyl (Fmoc)-protected amino diol, where the core functional group is a carbamate ester (urethane) linkage connecting the fluorenylmethyl group via a carbonate-type nitrogen bond. The Fmoc group forms the carbamate ester, making 'Carbamate esters' the most specific applicable direct parent.",high,"9H-Fluoren-9-ylmethyl [(1R,2R)-(2-hydroxy-1-hydroxymethylpropyl)]carbamate",343,0,16760,186
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Azobenzenes,"This substance contains two benzene rings connected by an azo (-N=N-) linkage, with sulfonic acid, amino, and sulfonylethyl substituents, making it an azobenzene derivative. The azo linkage between substituted benzene rings is the most defining structural feature classifying it as an azobenzene.",medium,"2,4-diamino-5-[4-[(2-sulfoxyl ethyl)sulfonyl]phenylazo]benzenesulfonic acid",340,0,16760,161
NA,NA,NA,NA,NA,JSON parse error: Expecting value: line 1 column 1 (char 0),low,Fosamine,307,0,16760,167
Organic compounds,Organoheterocyclic compounds,Epoxides,Epoxides,Epoxides,"Allyl glycidyl ether contains an epoxide (oxirane) ring connected via an ether linkage to an allyl group. The defining structural feature is the three-membered cyclic ether (epoxide), making it best classified under the Epoxides class.",high,"allyl glycidyl ether; allyl 2,3-epoxypropyl ether; prop-2-en-1-yl 2,3-epoxypropyl ether",349,0,16760,144
Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,Transition metal sulfides,Transition metal sulfides,"Trinickel tetrasulfide (Ni3S4) is an inorganic compound consisting of nickel (a transition metal) and sulfur, classifying it as a transition metal sulfide. It falls under mixed metal/non-metal compounds as it contains both a metal (Ni) and a non-metal (S).",high,trinickel tetrasulfide,311,0,16760,143
Organic compounds,Organoheterocyclic compounds,Benzotriazoles,Benzotriazoles,Benzotriazoles,"Bumetrizole (UV-326) is 2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol, a UV stabilizer containing a benzotriazole core fused bicyclic ring system with a triazole ring fused to a benzene ring. It belongs to the benzotriazole class of organoheterocyclic compounds.",high,Bumetrizole (UV-326),313,0,16760,189
Organic compounds,Organohalogen compounds,Aryl halides,Halophenols,Nitrophenyl ethers,"Acifluorfen is a diphenyl ether herbicide containing a nitro group and a fluorine substituent on the phenyl rings, with a carboxylic acid group. It fits as a nitrophenyl ether (a phenyl ether with nitro substitution), and also contains aryl halide and halophenol characteristics, but the diphenyl ether with nitro group makes nitrophenyl ethers the most specific direct parent.",medium,Acifluorfen,310,0,16760,170
Organic compounds,Organic nitrogen compounds,Azacyclic compounds,Morpholines,Morpholines,"4-Acetylmorpholine is a morpholine ring (a six-membered ring containing both nitrogen and oxygen) with an acetyl group on the nitrogen, making it an N-acyl morpholine derivative classified under morpholines.",high,4-acetylmorpholine,311,0,16760,103
Organic compounds,Organoheterocyclic compounds,Quinazolines,Quinazolinamines,Quinazolinamines,"The substance contains a 4-amino-6,7-dimethoxyquinazoline core with a methylamino substituent, making quinazolinamine the most specific classification. It also contains an oxolane-2-carboxamide (tetrahydrofuran-2-carboxamide) side chain, but the quinazoline heterocycle is the dominant structural feature.",high,"N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide",349,0,16760,177
