substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
"α-Bitter acids, hop, hydrogenated, isomerized",TRUE,Organic compounds,Phenylpropanoids and polyketides,Prenol lipids,NA,Triterpenoids,low,NA,NA,FALSE,FALSE
"trisodium ({3-[(carboxylatomethyl)amino]propyl}{3-[(carboxylatomethyl)(C16-18, C18 unsat alkyl)amino]propyl}amino)acetate",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,medium,NA,NA,FALSE,FALSE
barium(2+); oxygen(2-); titanium(4+); zirconium(4+) ;calcium (2+),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
coconut oil,TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triacylglycerols,Triacylglycerols,high,NA,NA,FALSE,FALSE
"Zinc bis[(1Z)-3-oxo-1,3-diphenyl-1-propen-1-olate]",TRUE,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Chalcones and dihydrochalcones,Chalcones and dihydrochalcones,medium,NA,NA,FALSE,FALSE
"Hydrocarbons, C6, isoalkanes, <5% n-hexane",TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Branched alkanes,Branched alkanes,high,NA,NA,FALSE,FALSE
NEOFLON TM EFEP,TRUE,Organic compounds,Organohalogen compounds,Organofluorides,Vinyl fluorides,Vinyl fluorides,low,NA,NA,FALSE,FALSE
Calcium dimethyloctadecylbenzenesulfonate,TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonate salts,Organic sulfonate salts,medium,NA,NA,FALSE,FALSE
Amorphous condensation products of orthophosphoric acid and sodium carbonate (3-6 : 1),TRUE,Inorganic compounds,Inorganic salts,Alkali metal salts,Alkali metal phosphates,Alkali metal phosphates,medium,NA,NA,FALSE,FALSE
"Cadmium sulfide (CdS), solid soln. with zinc sulfide, aluminum and cobalt and copper and silver-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,NA,NA,NA,low,NA,NA,FALSE,FALSE
Reaction products of soybean and maleic anhydride,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,low,NA,NA,FALSE,FALSE
"Phosphoric acid, mono- and di-isotridecyl esters, potassium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Organic phosphoric acids and derivatives,Alkyl phosphates,medium,NA,NA,FALSE,FALSE
CEP-075(K252A),TRUE,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles and derivatives,Indolocarbazoles,medium,NA,NA,FALSE,FALSE
Polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/PCDF),TRUE,Organic compounds,Organochlorides,Aryl halides,NA,Organochlorides,medium,Chlorinated dibenzo-p-dioxins,0.8131499215226573,FALSE,TRUE
"Tungsten Oxide (WO3), caesium and tin-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
"1-Dodecene, dimer with 1-decene, hydrogenated",TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Branched alkanes,Branched alkanes,high,NA,NA,FALSE,FALSE
"Phosphonic acid, aluminum salt (3:2)",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Metalloid salts,Metalloid phosphates,Metalloid phosphates,medium,NA,NA,FALSE,FALSE
"Zeolite, iron containing, crystalline, synthetic, non fibrous",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
Monocarbamide-dihydrogensulphate,TRUE,Inorganic compounds,Inorganic salts,Non-metal oxoanionic compounds,Non-metal sulfates,Non-metal sulfates,medium,NA,NA,FALSE,FALSE
"Reaction products of diazotised 5-amino-2-anilinobenzenesulphonic acid coupled with resorcinol, subsequently coupled with diazotised 3-amino-4-hydroxy-5-nitrobenzenesulphonic acid, subsequently coupled with diazotised sodium 2-amino-4,6-dinitrophenoxide, subsequently coupled with diazotised 4-nitroaniline, sodium salts",TRUE,Organic compounds,Hydrocarbon derivatives,Aryl halides,NA,Azo compounds,medium,NA,NA,FALSE,FALSE
"N,N,N-tri-C8-C10-alkyl-N-methyl-1-aminium sulfate",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,high,NA,NA,FALSE,FALSE
LEXMARK ACRYLIC COPOLYMER,TRUE,Organic compounds,Organic Polymers,NA,NA,NA,medium,NA,NA,FALSE,FALSE
"calcium, lithium, manganese, aluminium, zinc, sodium, potassium, magnesium stearates, palmitates, ricinoleates, heptanoates, octoates",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"Mentha citrata, ext.",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,medium,NA,NA,FALSE,FALSE
"Fatty acids, C12-18 (even numbered)-methyl esters, sulfonated, sodium salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acid methyl esters,medium,NA,NA,FALSE,FALSE
"Mercury, (acetato-kappaO)(3-(chloromethoxy-kappaO)propyl-kappaC)-",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,medium,NA,NA,FALSE,FALSE
2-(4-methyl-2-phenyl-1-piperazinyl)benzenemethanol monohydrochloride,TRUE,Organic compounds,Organoheterocyclic compounds,Piperazines,Phenylpiperazines,Phenylpiperazines,medium,NA,NA,FALSE,FALSE
PHOTO DYE BLUE MRM 594 PINA,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
SOKYD-ACETO,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C16-18 (even numbered), compds. with triethanolamine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,medium,NA,NA,FALSE,FALSE
"1,2-propyleneglycol monolaurate",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,high,NA,NA,FALSE,FALSE
sodium 5-(2-carboxyphenylazo)-6-hydroxynaphthalene-2-sulfonate,TRUE,Organic compounds,Benzenoids,Naphthalenes,Naphthalene sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Octadecanoic acid, mercury(1+) salt",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Fatty Acyls,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"2,6-bis(2,3,4-trihydroxybenzyl)-p-cresol ester with 6-diazo-5,6-dihydro-5-oxo-1-naphthalenesulfonate",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,NA,Organosulfonic acid esters,medium,NA,NA,FALSE,FALSE
REACTIVE GREEN FC 54200,TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Azo compounds,Azobenzenes,medium,NA,NA,FALSE,FALSE
hydrogen sodium N-carboxylatoethyl-N-octadec-9-enylmaleamate,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Secondary carboxylic acid amides,medium,NA,NA,FALSE,FALSE
HP-17-8043,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Liraglutide precursor,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Polypeptides,medium,NA,NA,FALSE,FALSE
2-METHYL-4-PHENYLINDANONE,TRUE,Organic compounds,Benzenoids,Indanes,Indanones,Indanones,high,NA,NA,FALSE,FALSE
"Proteinase, Bacillus subtilis metallo-",TRUE,Organic compounds,Organic nitrogen compounds,Polypeptides,NA,Polypeptides,medium,NA,NA,FALSE,FALSE
FAT 41'018,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Slag, pig iron ladle refining, non-granulated, water-cooled",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"ammonium 7-(2,6-dimethyl-8-(2,2-dimethylbutyryloxy)-1,2,6,7,8,8a-hexahydro-1-naphthyl)-3,5-dihydroxyheptanoate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Carboxylic acid salts,medium,NA,NA,FALSE,FALSE
"1-Naphthalenesulfonic acid, 6-diazo-5,6-dihydro-5-oxo-, ester with 4,4'-methylenebis[2-[(2-hydroxy-5-methylphenyl)methyl]-6-methylphenol",TRUE,Organic compounds,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acid esters,Organosulfonic acid esters,medium,NA,NA,FALSE,FALSE
destillation fraction of chlorosilanes,TRUE,Organic compounds,Organohalogen compounds,Organochlorides,NA,Organochlorosilanes,medium,NA,NA,FALSE,FALSE
tris(lambda2-iron(2+)) 15-methylhexadecanoic acid trioxidandiide,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Methyl-branched fatty acids,medium,NA,NA,FALSE,FALSE
poly(zinc glycerolate),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,NA,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
Product of Semi-Dry Absorption method of Flue Gas Desulphurization (SDA Product),TRUE,Inorganic compounds,Inorganic salts,Alkaline earth metal salts,NA,Alkaline earth metal sulfates,low,NA,NA,FALSE,FALSE
"6-(3-(3-tert-Butyl-4-hydroxy-5-methylphenyl)propoxy)-2,4,8,1 0-tetra-tert-butyldibenz(d,f)(1,3,2)dioxaphosphepin",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,Organic phosphoric acids and derivatives,Organic phosphites,medium,NA,NA,FALSE,FALSE
disodium 2-[[4-(2-chloroethylsulfonyl)phenyl]-[(2-hydroxy-5-sulfo-3-[3-[2-(2-(sulfooxy)ethylsulfonyl)ethylazo]-4-sulfobenzoato(3-)cuprate(1-),TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Sulfonyls,Sulfones,low,NA,NA,FALSE,FALSE
"Fatty acids, C18-unsatd., trimers, compds. with oleylamine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty amides,low,NA,NA,FALSE,FALSE
"Crude Phenols|Tar acids, brown-coal gasification|[A complex combination of organic compounds obtained from brown coal gasification. Composed primarily of C<sub>6-10</sub> hydroxy aromatic phenols and their homologs.]",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Phenols,medium,NA,NA,FALSE,FALSE
"anhydro-D-glucitol, 1-deoxy-1-(methylamino)-, N-[C8-10(even numbered) acyl] derivs.",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,medium,NA,NA,FALSE,FALSE
Magnesium salt of C11-C13 alkenyldicarboxylic acid ester,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic metal salts,low,NA,NA,FALSE,FALSE
"Boric acid (HBO2), cadmium salt",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Post-transition metal salts,Post-transition metal borates,Post-transition metal borates,medium,NA,NA,FALSE,FALSE
CLORO-3M-METANSULFONAT,TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organosulfonic acid esters,Organosulfonic acid esters,medium,NA,NA,FALSE,FALSE
"Lanolin, acetate",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Wax monoesters,medium,NA,NA,FALSE,FALSE
"4-Nonylphenol, ethoxylated",TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,medium,NA,NA,FALSE,FALSE
"Arsenic acid (H3AsO4), lead(2+) salt (2:3), tetrahydrate",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Post-transition metal salts,Post-transition metal arsenates,Post-transition metal arsenates,high,NA,NA,FALSE,FALSE
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,p-Phthalate esters,medium,NA,NA,FALSE,FALSE
3-(methylamino)-1-phenylpropan-1-ol; sulphate,TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Organic sulfate salts,Organic sulfate salts,medium,NA,NA,FALSE,FALSE
"methyl 3-({5-acetamido-4-[2-(5-fluoro-2,4-dinitrophenyl)diazen-1-yl]-2-methoxyphenyl}(ethyl)amino)propanoate",TRUE,Organic compounds,Hydrocarbon derivatives,Azobenzenes,NA,Azobenzenes,high,NA,NA,FALSE,FALSE
"Fatty acids, tall-oil, reaction products with acrylic acid",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Unsaturated fatty acids,low,NA,NA,FALSE,FALSE
"Brominated chlorinated copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, wherein the number of bromines is equal to or more than 10 and less than 16, and the number of chlorines is equal to or more than 0 and less than 7",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,high,NA,NA,FALSE,FALSE
"Soaps, stocks, acidulated",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
glass microballs,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"sodium salt of 4-amino-3,6-bis[[5-[[4-chloro-6-[(2-methyl-4-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-2-sulfophenyl]azo]-5-hydroxy-2,7-naphthalenedisulfonic acid",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,NA,Azo compounds,medium,NA,NA,FALSE,FALSE
cresols,TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Cresols,high,Cresols,0.9999999999998264,TRUE,TRUE
"Extract residues (coal), creosote oil acid|Wash Oil Extract Residue|[A complex combination of hydrocarbons from the base-freed fraction from the distillation of coal tar, boiling in the range of approximately 250°C to 280°C (482°F to 536°F). It consists p",TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Aromatic hydrocarbons,medium,NA,NA,FALSE,FALSE
"C9-C14 linear and/or branched perfluorocarboxylic acids (C9-C14 PFCAs), their salts and C9-C14 PFCAs-related substances
perfluorononan-1-oic acid (PFNA); nonadecafluorodecanoic acid (PFDA); henicosafluoroundecanoic acid (PFUnDA); tricosafluorododecanoic acid (PFDoDA); pentacosafluorotridecanoic acid (PFTrDA); heptacosafluorotetradecanoic acid (PFTDA); including their salts and precursors",TRUE,Organic compounds,Organohalogen compounds,Organofluorides,Perfluoroalkyl carboxylic acid and derivatives,Perfluoroalkyl carboxylic acid and derivatives,high,NA,NA,FALSE,FALSE
Tagetes oil,TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,NA,Monoterpenoids,low,NA,NA,FALSE,FALSE
"(2R*, 3S*)-2-(2,4-difluorophenyl)-3-(5-fluoro-4-pyrimidinyl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol (1R)-10-camphorsulfonate",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organic salts,Organic salts,medium,NA,NA,FALSE,FALSE
"2,2'-(C16-18 (evennumbered, C18 unsaturated) alkyl imino) diethanol",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dialkylamines,medium,NA,NA,FALSE,FALSE
"2,3-Difluorpropoxybenzol",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol ethers,Alkyl aryl ethers,high,NA,NA,FALSE,FALSE
"Acid chlorides, coco",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Acyl chlorides,high,NA,NA,FALSE,FALSE
"Fatty acids, montan-wax, lithium salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,medium,NA,NA,FALSE,FALSE
Potassium 5-nitrosalicylate,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Hydroxy acids and derivatives,Aminosalicylic acids,medium,NA,NA,FALSE,FALSE
"reaction product of pentaerythritol triacrylate and 3,7-Dioxa-4-aza-6-phosphanonanoic acid, 4,5-bis(1,1-dimethylethyl)-6-ethoxy-2,2-dimethyl-, 6-oxide (1:3)",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,low,NA,NA,FALSE,FALSE
"Reaction products of sulphuric acid, rock phosphate and humic acids, potassium salts",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Direct Orange 102,TRUE,Organic compounds,Hydrocarbon derivatives,Aryl halides,NA,Azobenzenes,medium,NA,NA,FALSE,FALSE
CLR-3,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Alcohols, C10-12 (even numbered), ethoxylated (1-2.5 EO), sulfated, sodium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,Sulfuric acid monoesters,medium,NA,NA,FALSE,FALSE
"Amides, C8-18 (even numbered) and C18-unsatd., N-(hydroxyethyl)",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Fatty amides,medium,NA,NA,FALSE,FALSE
1-allyl 2-acetylamino methyl pyrrolidine,TRUE,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,N-acylpyrrolidines,N-acylpyrrolidines,medium,NA,NA,FALSE,FALSE
barium calcium cesium lead samarium strontium bromide chloride fluoride iodide europium doped,TRUE,Inorganic compounds,Inorganic salts,NA,NA,Inorganic salts,low,NA,NA,FALSE,FALSE
"C12-14-tert-alkylamine, methylphosphonic acid salt",TRUE,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,NA,Organic phosphonic acids,medium,NA,NA,FALSE,FALSE
"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, sodium salt (1:2), reaction products with 4-[2-(4-aminophenyl)diazenyl]benzenesulfonic acid, lithium sodium salts",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Azo compounds,low,NA,NA,FALSE,FALSE
"1,3-Benzenediamine, coupled with diazotized m-phenylenediamine, acetates",TRUE,Organic compounds,Hydrocarbon derivatives,Organonitrogen compounds,NA,Azobenzenes,medium,NA,NA,FALSE,FALSE
"Fatty acids, C12-16 (even numbered) and C18 unsatd., Me esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acid methyl esters,high,NA,NA,FALSE,FALSE
"Reaction products of pentaerythritol and trimethylol propane with 2-methylbutyric acid, n-pentanoic acid, n-heptanoic acid, 3,5,5 trimethylhexanoic acid, n-octanoic acid and n-decanoic acid",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Triacylglycerols,low,NA,NA,FALSE,FALSE
n-methylnaphtylmethylamine acetate,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Acetate salts,medium,NA,NA,FALSE,FALSE
"Reaction products of fatty acids, C16-18, C18 unsatd. with Amines, polyethylenepoly-, triethylenetetramine fraction and 3-(C9–C15, C12 rich, alk-1-enyl)dihydro-2,5-furandione",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Fatty amides,low,NA,NA,FALSE,FALSE
"Nickel, isononanoate naphthenate complexes",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Organic transition metal salts,medium,NA,NA,FALSE,FALSE
tris(isopropyl/tert-butylphenyl) phosphate,TRUE,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Organic phosphoric acids and derivatives,Aryl phosphotriesters,high,NA,NA,FALSE,FALSE
"Tall oil, polymd., oxidized",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,low,NA,NA,FALSE,FALSE
"Disodium 1-amino-4-{[3-({4-chloro-6-[(3-{[2-(ethenylsulfonyl)ethyl]carbamoyl}phenyl)amino]-1,3,5-triazin-2-yl}amino)-2,4,6-trimethyl-5-sulfonatophenyl]amino}-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate",TRUE,Organic compounds,Phenylpropanoids and polyketides,Anthracenes,Anthraquinones,Anthraquinones,medium,NA,NA,FALSE,FALSE
"Methyl ester of fatty acids, Cx-Cy, Hydroxymethylated",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty acid methyl esters,medium,Fatty acid methyl esters,0.8172067870446177,TRUE,TRUE
"ammonium (η-6-2-(2-(1,2-dicarboxylatoethylamino)ethylamino)butane-1,4-dioato(4-))iron(3+) monohydrate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",low,NA,NA,FALSE,FALSE
FUSD-2,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Sophorolipids: fermentation products of glucose and rapeseed-oil fatty acids methyl esters with yeast Candida Bombicola,TRUE,Organic compounds,Lipids and lipid-like molecules,Saccharolipids,NA,Saccharolipids,medium,NA,NA,FALSE,FALSE
"2-Naphthalenesulfonic acid, 5(or 8)-amino-, reaction products with 4-aminophenol and sodium sulfide (Na2(Sx))",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,NA,Naphthalene sulfonic acids and derivatives,low,NA,NA,FALSE,FALSE
"Poly(oxycarbonyloxy-1,4-phenylene-1,1-(3,3,5-trimethyl)cyclohexylidene-1,4-phenylene-co-oxycarbonyloxy-1,4-phenylenisopropylidene-1,4-phenylene)",TRUE,Organic compounds,Organic Polymers,Organooxygen compounds,Carbonyl compounds,Carbonic acid diesters,medium,NA,NA,FALSE,FALSE
"A mixture of: 2-methylnonanedioic acid 2,4-dimethyl-4-methoxycarbonylundecanedioic acid 2,4,6-trimethyl-4,6-dimethoxycarbonyltridecanedioic acid 8,9-dimethyl-8,9-dimethoxycarbonylhexadecanedioic acid",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Extract residues (coal), light oil alk., distn. overheads; Light Oil Extract Residues, low boiling; [The first fraction from the distillation of aromatic hydrocarbons, coumarone, naphthalene and indene rich prefractionator bottoms or washed carbolic oil boiling substantially below 145 °C (293 °F). Composed primarily of C7 and C8 aliphatic and aromatic hydrocarbons.]",TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Aromatic hydrocarbons,medium,NA,NA,FALSE,FALSE
"Cyclohexane, oxidized, non-volatile residue",TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,low,NA,NA,FALSE,FALSE
"Reaction product of diazotised 2-amino-4,6-dinitrophenol coupled with resorcinol , subsequently coupled with diazotized 2-(4-aminophenylamino)-5-nitrobenzenesulfonic, chelated with iron, sodium potassium salts",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,NA,Azo compounds,low,NA,NA,FALSE,FALSE
"alkyl sulfate, sodium (mono C10-C16-alkyl esters)",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Organic sulfate salts,Organic sulfate salts,high,NA,NA,FALSE,FALSE
"Mixture of hexa(sodium,lithium) 4-{[1,7-disulfonato-5-hydroxy-6-({4-[(6-methoxy-5-sulfonatobenzoheteromonocycle-2-yl)diazenyl]-5-alkyl-2-(3-sulfonatopropoxy)phenyl}diazenyl)naphthalen-2-yl]diazenyl}-5-hydroxy-1-(4-sulfonatophenyl)heteromonocycle-3-carboxylate and hexa(sodium,lithium) 4-{[1,7-disulfonato-5-hydroxy-6-({4-[(6-methoxy-7-sulfonatobenzoheteromonocycle-2-yl)diazenyl]-5-alkyl-2-(3-sulfonatopropoxy)phenyl}diazenyl)naphthalen-2-yl]diazenyl}-5-hydroxy-1-(4-sulfonatophenyl)heteromonocycle-3-carboxylate",TRUE,Organic compounds,Hydrocarbon derivatives,Azobenzenes,NA,Azobenzenes,medium,NA,NA,FALSE,FALSE
"Slags, tellurium",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Certain chromium(VI) oxides, oxyacids and salts",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal oxoanionic compounds,Transition metal chromates,Transition metal chromates,medium,NA,NA,FALSE,FALSE
"Protein hydrolyzates, keratin, reaction products with 3-chloro-2-hydroxypropyl-cocoalkyl-dimethylammonium chloride",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,low,NA,NA,FALSE,FALSE
"Amides, C8-18 (even numbered) and C18 (unsaturated) alkyl, N-[3-(dimethylamino)propyl]",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Fatty amides,medium,NA,NA,FALSE,FALSE
"salts and esters of 2,4,5-T; salts and esters of 2,4,5-trichlorophenoxy acetic acid",TRUE,Organic compounds,Organohalogen compounds,Organochlorides,Aryl halides,Chlorophenoxyacetates,high,NA,NA,FALSE,FALSE
CEPH D.DCHA SALT,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Cephalosporins,medium,NA,NA,FALSE,FALSE
{1-[1-(4-Fluoro-benzyl)-1H-benzoimidazol-2-yl]-piperidin-4-yl}-methyl-ammonium; chloride,TRUE,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,NA,Benzimidazoles,high,NA,NA,FALSE,FALSE
"Resin acids and Rosin acids, reaction products with formaldehyde, sodium salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Diterpenoids,medium,NA,NA,FALSE,FALSE
"Methanal, reaction products with 1,3-bis(aminomethyl)benzene and hydroxybenzene",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Phenols,medium,NA,NA,FALSE,FALSE
"Leach of products of roasting of ""slags, steelmaking, vanadium""",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Reaction products of diazotised 2-amino-4,6-dinitrophenol coupled with reaction products of 6-amino-4-naphthol-2-sulfonic acid, sodium metabisulfite and formaòdehyde, chelated with chromium (3+), sodium potassium salts",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,NA,Azo compounds,low,NA,NA,FALSE,FALSE
Purpureocillium lilacinum PL 11,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"2,2',6,6'-Tetrabromo-4,4'-isopropylidenediphenol, oligomeric reaction products with Propylene oxide and n-butyl glycidyl ether",TRUE,Organic compounds,Organohalogen compounds,Organobromides,NA,Aryl bromides,medium,NA,NA,FALSE,FALSE
β-cyclodextrine methyl ethers,TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,medium,NA,NA,FALSE,FALSE
